"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","UNEMP","15_24","PC_LF","M","2019-10",7.3,
"NLD","UNEMP","15_24","PC_LF","M","2019-11",7.3,
"NLD","UNEMP","15_24","PC_LF","M","2019-12",6.7,
"NLD","UNEMP","15_24","PC_LF","M","2020-01",6.4,
"NLD","UNEMP","15_24","PC_LF","M","2020-02",6.3,
"NLD","UNEMP","15_24","PC_LF","M","2020-03",6.3,
"NLD","UNEMP","15_24","PC_LF","M","2020-04",8.4,
"NLD","UNEMP","15_24","PC_LF","M","2020-05",9.5,
"NLD","UNEMP","15_24","PC_LF","M","2020-06",10.7,
"NLD","UNEMP","15_24","PC_LF","M","2020-07",11,
"NLD","UNEMP","15_24","PC_LF","M","2020-08",11.3,
"NLD","UNEMP","15_24","PC_LF","M","2020-09",10.7,
"NLD","UNEMP","15_24","PC_LF","M","2020-10",10.1,
"ISL","UNEMP","15_24","PC_LF","M","2019-09",9,
"ISL","UNEMP","15_24","PC_LF","M","2019-10",9.2,
"ISL","UNEMP","15_24","PC_LF","M","2019-11",9.4,
"ISL","UNEMP","15_24","PC_LF","M","2019-12",9.5,
"ISL","UNEMP","15_24","PC_LF","M","2020-01",9.5,
"ISL","UNEMP","15_24","PC_LF","M","2020-02",9.6,
"ISL","UNEMP","15_24","PC_LF","M","2020-03",9.8,
"ISL","UNEMP","15_24","PC_LF","M","2020-04",9.9,
"ISL","UNEMP","15_24","PC_LF","M","2020-05",9.9,
"ISL","UNEMP","15_24","PC_LF","M","2020-06",9.9,
"ISL","UNEMP","15_24","PC_LF","M","2020-07",9.9,
"ISL","UNEMP","15_24","PC_LF","M","2020-08",10,
"ISL","UNEMP","15_24","PC_LF","M","2020-09",10.1,
"ISL","UNEMP","15_24","PC_LF","M","2020-10",10.1,
"ESP","UNEMP","15_24","PC_LF","M","2019-09",32.2,
"ESP","UNEMP","15_24","PC_LF","M","2019-10",31.2,
"ESP","UNEMP","15_24","PC_LF","M","2019-11",30.5,
"ESP","UNEMP","15_24","PC_LF","M","2019-12",30.3,
"ESP","UNEMP","15_24","PC_LF","M","2020-01",30.6,
"ESP","UNEMP","15_24","PC_LF","M","2020-02",31.2,
"ESP","UNEMP","15_24","PC_LF","M","2020-03",34.8,
"ESP","UNEMP","15_24","PC_LF","M","2020-04",36.8,
"ESP","UNEMP","15_24","PC_LF","M","2020-05",39.4,
"ESP","UNEMP","15_24","PC_LF","M","2020-06",41.6,
"ESP","UNEMP","15_24","PC_LF","M","2020-07",42.6,
"ESP","UNEMP","15_24","PC_LF","M","2020-08",41.6,
"ESP","UNEMP","15_24","PC_LF","M","2020-09",40.2,
"ESP","UNEMP","15_24","PC_LF","M","2020-10",40.4,
"POL","UNEMP","15_24","PC_LF","M","2019-09",9,
"POL","UNEMP","15_24","PC_LF","M","2019-10",8.4,
"POL","UNEMP","15_24","PC_LF","M","2019-11",8,
"POL","UNEMP","15_24","PC_LF","M","2019-12",7.8,
"POL","UNEMP","15_24","PC_LF","M","2020-01",8.9,
"POL","UNEMP","15_24","PC_LF","M","2020-02",9.6,
"POL","UNEMP","15_24","PC_LF","M","2020-03",9.5,
"POL","UNEMP","15_24","PC_LF","M","2020-04",9.5,
"POL","UNEMP","15_24","PC_LF","M","2020-05",9.9,
"POL","UNEMP","15_24","PC_LF","M","2020-06",10.8,
"POL","UNEMP","15_24","PC_LF","M","2020-07",11.4,
"POL","UNEMP","15_24","PC_LF","M","2020-08",11.7,
"POL","UNEMP","15_24","PC_LF","M","2020-09",11.9,
