"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","UNEMP","25_74","PC_LF","M","2020-07",9.065987,
"USA","UNEMP","25_74","PC_LF","M","2020-08",7.544479,
"USA","UNEMP","25_74","PC_LF","M","2020-09",7.028381,
"USA","UNEMP","25_74","PC_LF","M","2020-10",6.162173,
"USA","UNEMP","25_74","PC_LF","M","2020-11",5.971356,
"CHL","UNEMP","25_74","PC_LF","M","2019-09",5.944022,
"CHL","UNEMP","25_74","PC_LF","M","2019-10",5.961439,
"CHL","UNEMP","25_74","PC_LF","M","2019-11",6.330168,
"CHL","UNEMP","25_74","PC_LF","M","2019-12",6.554786,
"CHL","UNEMP","25_74","PC_LF","M","2020-01",6.906827,
"CHL","UNEMP","25_74","PC_LF","M","2020-02",6.948054,
"CHL","UNEMP","25_74","PC_LF","M","2020-03",7.895859,
"CHL","UNEMP","25_74","PC_LF","M","2020-04",9.650344,
"CHL","UNEMP","25_74","PC_LF","M","2020-05",10.50054,
"CHL","UNEMP","25_74","PC_LF","M","2020-06",11.02087,
"CHL","UNEMP","25_74","PC_LF","M","2020-07",11.01964,
"CHL","UNEMP","25_74","PC_LF","M","2020-08",10.75984,
"CHL","UNEMP","25_74","PC_LF","M","2020-09",10.33011,
"COL","UNEMP","25_74","PC_LF","M","2019-09",8.342033,
"COL","UNEMP","25_74","PC_LF","M","2019-10",8.772506,
"COL","UNEMP","25_74","PC_LF","M","2019-11",8.895214,
"COL","UNEMP","25_74","PC_LF","M","2019-12",8.433474,
"COL","UNEMP","25_74","PC_LF","M","2020-01",8.322037,
"COL","UNEMP","25_74","PC_LF","M","2020-02",8.7264,
"COL","UNEMP","25_74","PC_LF","M","2020-03",10.17811,
"COL","UNEMP","25_74","PC_LF","M","2020-04",18.06765,
"COL","UNEMP","25_74","PC_LF","M","2020-05",18.76443,
"COL","UNEMP","25_74","PC_LF","M","2020-06",18.30777,
"COL","UNEMP","25_74","PC_LF","M","2020-07",17.27326,
"COL","UNEMP","25_74","PC_LF","M","2020-08",14.849,
"COL","UNEMP","25_74","PC_LF","M","2020-09",14.56115,
"COL","UNEMP","25_74","PC_LF","M","2020-10",14.02245,
"EST","UNEMP","25_74","PC_LF","M","2019-09",3.9,
"EST","UNEMP","25_74","PC_LF","M","2019-10",3.8,
